new_sku,item_name,category,unit,cost,retail,qty,store_type,selected_old_sku,merged_old_skus,source_count,review_flag,conflicts
FGH-BAR-DRINKS-001,PUNCH,BAR DRINKS,pcs,0,250.0,0,bar_store,MOG-BAR-0139,MOG-BAR-0139,1,REVIEW,
FGH-BEERS-001,BALOZI,BEERS,crate,4225.0,250.0,1000.0,bar_store,FG-190,FG-190,1,OK,
FGH-BEERS-002,BLACK ICE,BEERS,bottle,0,250.0,0,bar_store,FGB-STK-BTL-0010,FGB-STK-BTL-0010 | FG-191,2,HIGH,"UNIT, CATEGORY, NAME ALIAS"
FGH-BEERS-003,DESPERADO,BEERS,bottle,285.0,350.0,996.0,bar_store,FGB-BER-0011,FGB-BER-0011 | FG-192,2,MEDIUM,"RETAIL, CATEGORY"
FGH-BEERS-004,GUARANA,BEERS,can,175.96,250.0,1000.0,bar_store,FGB-CAN-0005,FGB-CAN-0005 | FG-450,2,HIGH,"UNIT, CATEGORY"
FGH-BEERS-005,GUINNESS,BEERS,bottle,204.0,300.0,1000.0,bar_store,FGB-BER-0005,FGB-BER-0005 | FG-193,2,HIGH,"UNIT, COST, CATEGORY"
FGH-BEERS-006,HEINEKEN,BEERS,pcs,263.0,263.0,0,bar_store,FG-194,FG-194,1,OK,
FGH-BEERS-007,HUNTERS BEER,BEERS,bottle,203.0,203.0,1000.0,bar_store,FGB-BER-0012,FGB-BER-0012,1,OK,
FGH-BEERS-008,HUNTERS CIDER DRY,BEERS,pcs,203.0,203.0,33.0,bar_store,FG-320,FG-320,1,OK,
FGH-BEERS-009,HUNTERS CIDER GOLD,BEERS,pcs,203.0,203.0,12.0,bar_store,FG-195,MOG-BAR-0153 | FG-195,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-BEERS-010,KINGFISHER,BEERS,pcs,192.0,192.0,0,bar_store,FG-315,FG-315,1,OK,
FGH-BEERS-011,MANYATTA,BEERS,pcs,215.0,300.0,1000.0,bar_store,FG-196,FG-196,1,OK,
FGH-BEERS-012,PILSNER LAGER,BEERS,bottle,169.0,250.0,1000.0,bar_store,FGB-BER-0009,FGB-BER-0009 | FG-197,2,HIGH,"UNIT, COST, CATEGORY, NAME ALIAS"
FGH-BEERS-013,SAVANNA CIDER,BEERS,bottle,251.0,350.0,1000.0,bar_store,FGB-WHK-0024,FGB-WHK-0024 | FGB-STK-MIX-0004 | FG-198,3,MEDIUM,"RETAIL, CATEGORY, NAME ALIAS"
FGH-BEERS-014,SIKERA,BEERS,crate,3275.0,250.0,1000.0,bar_store,FG-199,FG-199,1,OK,
FGH-BEERS-015,SNAPP,BEERS,crate,3982.0,250.0,1000.0,bar_store,FG-200,FG-200,1,OK,
FGH-BEERS-016,SUMMIT LAGER,BEERS,pcs,240.0,300.0,1000.0,bar_store,FG-201,FG-201,1,OK,
FGH-BEERS-017,TUSKER CIDER,BEERS,crate,5552.0,250.0,1000.0,bar_store,FG-202,FG-202,1,OK,
FGH-BEERS-018,TUSKER LAGER,BEERS,crate,4225.0,250.0,1000.0,bar_store,FG-203,FG-203,1,OK,
FGH-BEERS-019,TUSKER LITE,BEERS,crate,4667.0,250.0,1000.0,bar_store,FG-204,FG-204,1,OK,
FGH-BEERS-020,TUSKER MALT,BEERS,crate,4075.0,250.0,1000.0,bar_store,FG-205,FG-205,1,OK,
FGH-BEERS-021,WHITE CAP LAGER,BEERS,bottle,195.92,250.0,1000.0,bar_store,FGB-BER-0013,FGB-BER-0013 | FG-206,2,HIGH,"UNIT, COST, CATEGORY, NAME ALIAS"
FGH-BEERS-022,WHITE CAP LITE,BEERS,crate,4075.0,250.0,1000.0,bar_store,FG-207,FG-207,1,OK,
FGH-BEERS-023,WINDHOEK,BEERS,pcs,190.0,190.0,0,bar_store,FG-395,FG-395,1,OK,
FGH-CANNED-BEERS-001,ALVARO CAN,CANNED BEERS,can,0,200.0,0,bar_store,FGB-STK-MIX-0003,FGB-STK-MIX-0003 | FG-425,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-CANNED-BEERS-002,BALOZI CAN,CANNED BEERS,pcs,199.2,300.0,1000.0,bar_store,FG-208,FG-208,1,OK,
FGH-CANNED-BEERS-003,BLACK ICE CAN,CANNED BEERS,pcs,175.96,300.0,1000.0,bar_store,FG-209,FG-209,1,OK,
FGH-CANNED-BEERS-004,FAXE CAN,CANNED BEERS,pcs,825.0,825.0,0,bar_store,FG-210,FGB-STK-CAN-0011 | FG-210,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-CANNED-BEERS-005,GORDONS CAN,CANNED BEERS,can,175.96,300.0,1000.0,bar_store,FGB-CAN-0012,FGB-CAN-0012,1,OK,
FGH-CANNED-BEERS-006,GUARANA PUNCH,CANNED BEERS,can,175.96,250.0,1000.0,bar_store,FGB-CAN-0010,FGB-CAN-0010 | FG-423,2,MEDIUM,CATEGORY
FGH-CANNED-BEERS-007,GUINNESS CAN,CANNED BEERS,can,216.71,300.0,1000.0,bar_store,FGB-CAN-0001,FGB-CAN-0001 | FG-211,2,MEDIUM,CATEGORY
FGH-CANNED-BEERS-008,HEINEKEN CAN,CANNED BEERS,pcs,0,0,0,bar_store,FG-422,FG-422,1,OK,
FGH-CANNED-BEERS-009,MANYATTA CAN,CANNED BEERS,pcs,0,0,0,bar_store,FG-451,FG-451,1,OK,
FGH-CANNED-BEERS-010,PILSNER CAN,CANNED BEERS,pcs,138.75,300.0,1000.0,bar_store,FG-212,FG-212,1,OK,
FGH-CANNED-BEERS-011,SAVANNA RASPBERRY TWIST,CANNED BEERS,can,175.96,250.0,1000.0,bar_store,FGB-CAN-0011,FGB-CAN-0011 | FG-424,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-CANNED-BEERS-012,SNAPP CAN,CANNED BEERS,pcs,175.96,300.0,1000.0,bar_store,FG-213,FG-213,1,OK,
FGH-CANNED-BEERS-013,TUSKER CIDER CAN,CANNED BEERS,pcs,234.0,300.0,1000.0,bar_store,FG-214,FG-214,1,OK,
FGH-CANNED-BEERS-014,TUSKER LAGER CAN,CANNED BEERS,pcs,199.1,300.0,1000.0,bar_store,FG-215,FG-215,1,OK,
FGH-CANNED-BEERS-015,TUSKER LITE CAN,CANNED BEERS,pcs,243.0,300.0,1000.0,bar_store,FG-216,FG-216,1,OK,
FGH-CANNED-BEERS-016,TUSKER MALT CAN,CANNED BEERS,pcs,242.0,300.0,1000.0,bar_store,FG-217,FG-217,1,OK,
FGH-CANNED-BEERS-017,WHITE CAP CAN,CANNED BEERS,pcs,242.0,242.0,1000.0,bar_store,FG-218,FG-218,1,OK,
FGH-CLEANING-MATERIALS-001,CERAMIC STAIN REMOVER,CLEANING MATERIALS,L,0,0,1000.0,foodstuffs,FG-118,FG-118,1,OK,
