old_sku,item_name,old_category,unit,cost,retail,qty,removal_type,reason
FGH-CHB-0012,1 Kg Chicken Dry Fry,KITCHEN MENU,portion,0.0,1400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0006,1 Kg Chicken Pan Fry,KITCHEN MENU,portion,0.0,1600.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0003,1 Kg Chicken Wet Fry,KITCHEN MENU,portion,0.0,1400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0011,1/2 Kg Chicken Dry Fry,KITCHEN MENU,portion,0.0,700.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0005,1/2 Kg Chicken Pan Fry,KITCHEN MENU,portion,0.0,800.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0002,1/2 Kg Chicken Wet Fry,KITCHEN MENU,portion,0.0,700.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-KUK-0011,1/2 Kg Kuku Kienyeji Dry Fry,KITCHEN MENU,portion,0.0,1000.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-KUK-0005,1/2 Kg Kuku Kienyeji Pan Fry,KITCHEN MENU,portion,0.0,1100.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-KUK-0002,1/2 Kg Kuku Kienyeji Wet Fry,KITCHEN MENU,portion,0.0,1100.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
MENU-797692d9-1146-4c86-b348-fe3774a733f1,1/4 Kg Chicken Dry Fry,KITCHEN MENU,each,0.0,350.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0004,1/4 Kg Chicken Pan Fry,KITCHEN MENU,portion,0.0,400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0001,1/4 Kg Chicken Wet Fry,KITCHEN MENU,portion,0.0,350.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-CHB-0010,1/4 Kg Kienyeji Chicken Boiled,KITCHEN MENU,portion,0.0,400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-KUK-0010,1/4 Kg Kuku Kienyeji Dry Fry,KITCHEN MENU,portion,0.0,500.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-KUK-0004,1/4 Kg Kuku Kienyeji Pan Fry,KITCHEN MENU,portion,0.0,550.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-KUK-0001,1/4 Kg Kuku Kienyeji Wet Fry,KITCHEN MENU,portion,0.0,550.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
MENU-36d1b188-928d-40d6-86d1-b50a992fd9a0,20 Litre Container,KITCHEN MENU,each,0.0,100.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BSD-0004,Banana 2 Pieces,KITCHEN MENU,portion,0.0,40.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
MENU-71b4c3b0-288c-4efb-bfc7-021b203bc2e4,Beans,KITCHEN MENU,each,0.0,150.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0005,Beef Pan Fry 1 Kg,KITCHEN MENU,portion,0.0,1600.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0004,Beef Pan Fry 1/2 Kg,KITCHEN MENU,portion,0.0,800.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0003,Beef Pan Fry 1/4 Kg,KITCHEN MENU,portion,0.0,400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0002,Beef Stew 1 Kg,KITCHEN MENU,portion,0.0,1600.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
MENU-c89e6e19-0b4c-489b-9688-02fa6c2c90ae,Beef Stew 1/2 Kg,KITCHEN MENU,each,0.0,800.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0001,Beef Stew 1/4 Kg,KITCHEN MENU,portion,0.0,400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0008,Beef Wet Fry 1 Kg,KITCHEN MENU,portion,0.0,1600.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0007,Beef Wet Fry 1/2 Kg,KITCHEN MENU,portion,0.0,800.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-BEF-0006,Beef Wet Fry 1/4 Kg,KITCHEN MENU,portion,0.0,400.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
MENU-79eebd8c-8969-431e-a8f7-49defee12b7a,Bhajia,KITCHEN MENU,portion,0.0,250.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-HBV-0016,Black Coffee,KITCHEN MENU,portion,0.0,50.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-HBV-0003,Black Tea,KITCHEN MENU,portion,0.0,50.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-EGD-0005,Boiled Eggs Broiler,KITCHEN MENU,portion,0.0,100.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-EGD-0006,Boiled Eggs Kienyeji,KITCHEN MENU,portion,0.0,150.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-SNP-0004,Brown Chapati,KITCHEN MENU,portion,0.0,70.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
FGH-FST-0007,Burger,KITCHEN MENU,portion,0.0,300.0,1000.0,POS OUTLET ITEM,Remove from master inventory and branch stock linkage. Retain the menu definition only in the POS/menu tables.
