old_sku,old_item_name,old_category,old_unit,old_cost,old_retail,old_qty,new_sku,new_item_name,new_category,action,selected_source,notes
MOG-BAR-0219,4TH STREET RED,BAR DRINKS,each,0.0,1200.0,0.0,FGH-WINES-001,4TH STREET SWEET RED,WINES,MERGE INTO,NO,Category → WINES; Name → 4TH STREET SWEET RED
MOG-BAR-0220,4TH STREET WHITE,BAR DRINKS,each,0.0,1200.0,0.0,FGH-WINES-002,4TH STREET WHITE,WINES,RENAME,YES,Category → WINES
MOG-BAR-0263,ALL SEASONS,BAR DRINKS,each,0.0,1400.0,0.0,FGH-WHISKY-001,ALL SEASONS 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → ALL SEASONS 750ML
FGB-STK-WHK-0032,All Seasons 3/4,BAR DRINKS,bottle,0.0,1400.0,0.0,FGH-WHISKY-001,ALL SEASONS 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → ALL SEASONS 750ML
FGB-STK-MIX-0003,Alvaro,BAR DRINKS,can,0.0,200.0,0.0,FGH-CANNED-BEERS-001,ALVARO CAN,CANNED BEERS,KEEP / RENAME,YES,Category → CANNED BEERS; Name → ALVARO CAN
FGB-STK-CRM-0001,Amarula 1/2,BAR DRINKS,bottle,0.0,1800.0,0.0,FGH-LIQUEURS-002,AMARULA CREAM 375ML,LIQUEURS,MERGE INTO,NO,Category → LIQUEURS; Name → AMARULA CREAM 375ML
FGB-WIN-0008,Amarula 350ml,BAR DRINKS,bottle,1173.0,1600.0,1000.0,FGH-LIQUEURS-001,AMARULA 350ML,LIQUEURS,RENAME,YES,Category → LIQUEURS
FGB-STK-CRM-0002,Amarula 750 ml,BAR DRINKS,bottle,0.0,3000.0,0.0,FGH-LIQUEURS-003,AMARULA CREAM 750ML,LIQUEURS,MERGE INTO,NO,Category → LIQUEURS; Name → AMARULA CREAM 750ML
FGB-WIN-0009,Amarula 750ml,BAR DRINKS,bottle,2086.0,2500.0,996.0,FGH-LIQUEURS-003,AMARULA CREAM 750ML,LIQUEURS,KEEP / RENAME,YES,Category → LIQUEURS; Name → AMARULA CREAM 750ML
FGB-STK-WIN-0008,Asconi 750 ml,BAR DRINKS,bottle,0.0,2000.0,0.0,FGH-WINES-003,ASCONI,WINES,MERGE INTO,NO,Category → WINES; Name → ASCONI
FGB-STK-BTL-0010,B. Ice,BAR DRINKS,bottle,0.0,250.0,0.0,FGH-BEERS-002,BLACK ICE,BEERS,KEEP / RENAME,YES,Category → BEERS; Name → BLACK ICE
FGB-STK-CRM-0004,Baileys 1/2,BAR DRINKS,bottle,0.0,1800.0,0.0,FGH-LIQUEURS-004,BAILEYS 350ML,LIQUEURS,MERGE INTO,NO,Category → LIQUEURS; Name → BAILEYS 350ML
FGB-STK-CRM-0005,Baileys 750 ml,BAR DRINKS,bottle,0.0,3000.0,0.0,FGH-LIQUEURS-005,BAILEYS 750ML,LIQUEURS,MERGE INTO,NO,Category → LIQUEURS; Name → BAILEYS 750ML
FGB-STK-CRM-0003,Best Cream,BAR DRINKS,bottle,0.0,1400.0,0.0,FGH-LIQUEURS-006,BEST CREAM 750ML,LIQUEURS,MERGE INTO,NO,Category → LIQUEURS; Name → BEST CREAM 750ML
FGB-STK-WHK-0018,Best Whisky 1/4,BAR DRINKS,bottle,0.0,500.0,0.0,FGH-WHISKY-002,BEST WHISKY 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BEST WHISKY 250ML
FGB-STK-WHK-0019,Best Whisky 3/4,BAR DRINKS,bottle,0.0,1400.0,0.0,FGH-WHISKY-003,BEST WHISKY 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BEST WHISKY 750ML
FGB-STK-WHK-0038,Black & White 1/2,BAR DRINKS,bottle,0.0,800.0,0.0,FGH-WHISKY-005,BLACK AND WHITE 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BLACK AND WHITE 350ML
FGB-STK-WHK-0039,Black & White 3/4,BAR DRINKS,bottle,0.0,1500.0,0.0,FGH-WHISKY-006,BLACK AND WHITE 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BLACK AND WHITE 750ML
FGB-STK-WHK-0016,Bond 7 1/2,BAR DRINKS,bottle,0.0,800.0,0.0,FGH-WHISKY-008,BOND 7 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BOND 7 350ML
FGB-STK-WHK-0015,Bond 7 1/4,BAR DRINKS,bottle,0.0,600.0,0.0,FGH-WHISKY-007,BOND 7 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BOND 7 250ML
FGB-STK-WHK-0017,Bond 7 3/4,BAR DRINKS,bottle,0.0,0.0,0.0,FGH-WHISKY-009,BOND 7 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → BOND 7 750ML
FGB-OTH-0004,Bulleit Bourbon,BAR DRINKS,bottle,3167.0,5000.0,1000.0,FGH-WHISKY-010,BULLEIT BOURBON,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FGB-OTH-0001,Camino,BAR DRINKS,bottle,2000.0,4000.0,1000.0,FGH-SPIRITS-001,CAMINO,SPIRITS,RENAME,YES,Category → SPIRITS
MOG-BAR-0225,CAPRICE RED,BAR DRINKS,each,0.0,0.0,0.0,FGH-WINES-004,CAPRICE SWEET RED,WINES,MERGE INTO,NO,Category → WINES; Name → CAPRICE SWEET RED
MOG-BAR-0226,CAPRICE WHITE,BAR DRINKS,each,0.0,0.0,0.0,FGH-WINES-005,CAPRICE SWEET WHITE,WINES,MERGE INTO,NO,Category → WINES; Name → CAPRICE SWEET WHITE
FGB-STK-WIN-0009,Casabuena 1 Ltr,BAR DRINKS,bottle,0.0,1300.0,0.0,FGH-WINES-006,CASABUENA 1L,WINES,RENAME,YES,Category → WINES; Name → CASABUENA 1L
MOG-BAR-0227,CASABUENA RED,BAR DRINKS,each,0.0,1200.0,0.0,FGH-WINES-008,CASABUENA SANGRIA RED,WINES,MERGE INTO,NO,Category → WINES; Name → CASABUENA SANGRIA RED
FGB-WIN-0004,Casabuena Sangaria,BAR DRINKS,bottle,712.0,1100.0,997.0,FGH-WINES-007,CASABUENA SANGARIA,WINES,RENAME,YES,Category → WINES
MOG-BAR-0228,CASABUENA WHITE,BAR DRINKS,each,0.0,1200.0,0.0,FGH-WINES-009,CASABUENA SANGRIA WHITE,WINES,MERGE INTO,NO,Category → WINES; Name → CASABUENA SANGRIA WHITE
FGB-STK-WIN-0002,Cellar Cask,BAR DRINKS,bottle,0.0,1200.0,0.0,FGH-WINES-010,CELLAR CASK,WINES,RENAME,YES,Category → WINES
FGB-STK-WIN-0004,Chamdor 3/4,BAR DRINKS,bottle,0.0,1000.0,0.0,FGH-WINES-013,CHAMDOR,WINES,MERGE INTO,NO,Category → WINES; Name → CHAMDOR
FGB-STK-BEV-0003,Coke Zero,BAR DRINKS,bottle,0.0,100.0,0.0,FGH-SOFT-DRINKS-001,COKE ZERO,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
